借据流水号,客户编号,客户名称,业务品种,是否表外,起始日期,到期日期,年利率,放款金额,借据余额,附加担保方式,业务品种大类,逾期天数,五级分类,经办人,业务品种细分,核心企业名称,组织机构证注册地,营业执照证注册地,统一社会信息证注册地,注册地址,利率调整周期,下一结息日,所属部门HR,终结日期,还款金额,ECIF客户号
PJ20250304000024,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250625000017,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-06-25,2025-12-25,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000030,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250625000015,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-06-25,2025-12-25,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250625000018,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-06-25,2025-12-25,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000014,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250528000008,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-05-28,2025-11-27,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250321000005,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-21,2025-09-21,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
2025011000000020,2020080500000033,陕西华通弘实业有限公司,反向保理,表内,2025-01-10,2026-01-05,6.5,115630.58,115630.58,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省渭南市韩城市,陕西省渭南市韩城市,陕西省渭南市韩城市,陕西省渭南市韩城市,,2026-01-05,供应链金融部,,0E-20,320006137141
2025022500000008,2017120500000005,河南泰仁商贸有限公司,反向保理,表内,2025-02-25,2026-02-20,6,246567.2,246567.2,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市,,2026-02-20,供应链金融部,,0E-20,200001059254
2025031900000004,2017120500000005,河南泰仁商贸有限公司,反向保理,表内,2025-03-19,2026-03-13,6,118295.8,118295.8,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市,,2026-03-13,供应链金融部,,0E-20,200001059254
2025071400000026,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-07-14,2026-07-05,6,112270.74,112270.74,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-07-05,供应链金融部,,0E-20,200001072704
2025052000000030,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-05-20,2026-05-14,6,110591.36,110591.36,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-05-14,供应链金融部,,0E-20,200001072704
2025052000000027,2017121900000025,西安航城物资有限公司,反向保理,表内,2025-05-20,2026-05-14,6,222045.03,222045.03,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市,,2026-05-14,供应链金融部,,0E-20,200001072704
PJ20250528000010,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-05-28,2025-11-27,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250304000028,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250321000007,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-21,2025-09-21,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250528000002,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-05-28,2025-11-27,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
2024092700000042,2020092300000120,上海贤和商贸发展有限公司,反向保理,表内,2024-09-27,2025-09-22,6.5,106266.9,106266.9,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,上海市奉贤区,上海市奉贤区,上海市奉贤区,上海市奉贤区,,2025-09-22,供应链金融部,,0E-20,310006301537
2025031400000001,2021021000000445,无锡市兴惠线缆有限公司,反向保理,表内,2025-03-14,2026-03-14,5,1544947.48,1544947.48,,贸易融资,0,1-正常,尹筱玲（客户经理）,线上供应链-瑞e保,远东智慧能源股份有限公司,江苏省无锡市宜兴市,江苏省无锡市宜兴市,江苏省无锡市宜兴市,江苏省无锡市宜兴市,,2026-03-14,公司业务三部,,0E-20,320007801898
2024072600000045,2021041300000442,宿迁翔泽商贸有限公司,反向保理,表内,2024-07-26,2026-01-21,6.5,95732.52,95732.52,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,江苏省宿迁市宿城区,,2025-07-21,供应链金融部,,0E-20,320008214590
PJ20250304000015,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-04,2025-09-04,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
PJ20250321000009,2019121300000015,上海微拓贸易有限公司,银行承兑汇票,表外,2025-03-21,2025-09-21,100,5000000,5000000,,票据,0,1-正常,吴一彬,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,200002717890
