"借据流水号","客户编号","客户名称","业务品种","是否表外","起始日期","到期日期","年利率","放款金额","借据余额","附加担保方式","业务品种大类","逾期天数","五级分类","经办人","业务品种细分","核心企业名称","组织机构证注册地","营业执照证注册地","统一社会信息证注册地","注册地址","利率调整周期","下一结息日","所属部门HR","终结日期","还款金额","ECIF客户号"
"2023122700000018","2016092300000019","上海水气石商业管理有限公司","固定资产贷款","表内",2023-12-28,2038-12-21,3.8,239480000,238091500,"保证","一般贷款",0,"1-正常","杨炳华","","","上海市徐汇区","上海市徐汇区","上海市徐汇区","上海市徐汇区","",2025-06-20,"法律合规部",,1388500.000000000000,"200000177324"
"2025061200000021","2021021000000444","安徽维尔特仪表线缆有限公司","反向保理","表内",2025-06-12,2026-06-12,5,1226497.51,1226497.51,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","",2026-06-12,"公司业务三部",,0E-20,"320007801357"
"2025052600000034","2021032600000645","马弗橡塑（镇江）有限公司","反向保理","表内",2025-05-26,2026-05-26,5,388835.5,388835.5,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省镇江市京口区","江苏省镇江市京口区","江苏省镇江市京口区","江苏省镇江市京口区","",2026-05-26,"公司业务三部",,0E-20,"320007968910"
"PJ20251126000016","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20251126000017","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"2026011600000039","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2026-01-16,2027-01-16,5,2876274.36,2876274.36,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2027-01-16,"公司业务三部",,0E-20,"320007969112"
"2025071400000040","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2025-07-14,2026-07-14,5,973470.22,973470.22,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2026-07-14,"公司业务三部",,0E-20,"320007969112"
"2025051200000022","2021032600000645","马弗橡塑（镇江）有限公司","反向保理","表内",2025-05-12,2026-05-12,5,468126,468126,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省镇江市京口区","江苏省镇江市京口区","江苏省镇江市京口区","江苏省镇江市京口区","",2026-05-12,"公司业务三部",,0E-20,"320007968910"
"2026012700000046","2021111800000464","盐城市瑞龙塑业有限公司","反向保理","表内",2026-01-27,2027-01-27,5,2439670.25,2439670.25,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省盐城市建湖县","江苏省盐城市建湖县","江苏省盐城市建湖县","江苏省盐城市建湖县","",2027-01-27,"公司业务三部",,0E-20,"320012473821"
"2025120900000034","2022020900000158","上海红创网络科技有限公司","普通流动资金贷款","表内",2025-12-09,2026-06-25,4.6,55000000,55000000,"抵押","一般贷款",0,"1-正常","陈雄","一般贷款","","上海市杨浦区","上海市杨浦区","上海市杨浦区","上海市杨浦区","",2025-12-21,"公司业务四部",,0E-20,"310013157130"
"2025061600000022","2023041100000010","浙江联飞光纤光缆有限公司","反向保理","表内",2025-06-16,2026-06-15,5,983624,983624,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","浙江省杭州市临安区","浙江省杭州市临安区","浙江省杭州市临安区","浙江省杭州市临安区","",2026-06-15,"公司业务三部",,0E-20,"320015607786"
"PJ20251222000001","2023041800000003","上海珺驰国际贸易有限公司","银行承兑汇票","表外",2025-12-22,2026-06-22,100,50000000,50000000,"","票据",0,"1-正常","倪文蕾（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"310015554133"
"PJ20251224000001","2023041800000003","上海珺驰国际贸易有限公司","银行承兑汇票","表外",2025-12-24,2026-06-24,100,100000000,100000000,"","票据",0,"1-正常","倪文蕾（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"310015554133"
"PJ20251218000003","2023071400000004","上海熠博贸易有限公司","银行承兑汇票","表外",2025-12-18,2026-06-18,100,10000000,10000000,"","票据",0,"1-正常","徐淑颖","","","上海市金山区","上海市金山区","上海市金山区","上海市金山区","",,"公司业务四部",,0E-20,"310015982705"
"PJ20251222000004","2023111200000004","上海昀哲国际贸易有限公司","银行承兑汇票","表外",2025-12-22,2026-06-22,100,10000000,10000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务一部",,0E-20,"310017399855"
"PJ20251212000002","2024080100000178","上海茂程化工有限公司","银行承兑汇票","表外",2025-12-12,2026-06-12,100,12000000,12000000,"","票据",0,"1-正常","徐淑颖","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务四部",,0E-20,"310019780420"
"126221202344385460576261","2024110500000134","上海逸鸿汇远物流有限公司","普通流动资金贷款","表内",2025-02-17,2026-02-17,5.5,200000,200000,"质押","一般贷款",101,"3-次级","周翔","脱核-顺丰","顺丰控股股份有限公司","上海市奉贤区","上海市","上海市奉贤区","上海市奉贤区","",2025-02-20,"供应链金融部",,0E-20,"310020766478"
"PJ20251211000010","2024112000000119","上海鼎轩机械有限公司","银行承兑汇票","表外",2025-12-11,2026-06-11,100,50000000,50000000,"","票据",0,"1-正常","周鑫（客户经理）","","","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",,"公司业务一部",,0E-20,"310021013169"
"2025030500000011","2024122000000009","千寻位置网络有限公司","普通流动资金贷款","表内",2025-03-10,2028-03-10,4.5,20000000,19800000,"","一般贷款",0,"1-正常","陈磊","一般贷款","","上海市杨浦区","上海市杨浦区","上海市杨浦区","上海市杨浦区","",2025-03-21,"市场营销三部",,200000.000000000000,"310021058067"
"PJ20251223000011","2023041800000003","上海珺驰国际贸易有限公司","银行承兑汇票","表外",2025-12-23,2026-06-23,100,50000000,50000000,"","票据",0,"1-正常","倪文蕾（客户经理）","","","上海市浦东新区","上海市浦东新区","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"310015554133"
